Title,Author,Stars,Price,URL
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,₹90.00,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.5 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555059/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4 out of 5 stars,₹127.00,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
The Hidden Hindu (Hindi Translation of The Hidden Hindu),Akshat Gupta,4.5 out of 5 stars,₹150.00,https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
Price Action Trading : Technical Analysis Simplified!,Sunil Gurjar (Chartmojo),4.3 out of 5 stars,₹318.00,https://www.amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,4.4 out of 5 stars,₹106.00,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
"Oswaal CAT 25 Years' Chapter-wise and Topic-wise Solved Papers Question Bank 1990-2008, 2017-2022 VARC, DILR & QA (For 2023 Exam)",Oswaal Editorial Board,4.2 out of 5 stars,₹757.00,https://www.amazon.in/Chapter-wise-Topic-wise-Question-1990-2008-2017-2022/dp/9356348480/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
"All-Time Favourites for Children: Classic Collection of 25+ most-loved, great stories by famous award-winning author (Illustrated, must-read fiction short stories for kids)",Ruskin Bond,4.6 out of 5 stars,₹150.00,https://www.amazon.in/All-Time-Favourites-Children-award-winning-Illustrated/dp/0143451936/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 2 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.4 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555067/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
The Alchemist,Paulo Coelho,4.6 out of 5 stars,₹225.00,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
THE COURAGE TO BE DISLIKED,ICHIRO KISHIMI,4.6 out of 5 stars,₹295.00,https://www.amazon.in/Courage-Disliked-Ichiro-Kishimi-Fumitake/dp/1760630721/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
All In One Class 10th Science for CBSE Exam 2024,"Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor , Imran Ahmad ",4.3 out of 5 stars,₹365.00,https://www.amazon.in/Class-10th-Science-CBSE-Exam-2024/dp/9350105993/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
You Can,George Matthew Adams,4.3 out of 5 stars,₹99.00,https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 6 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.5 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555024/ref=zg_bs_g_books_sccl_20/000-0000000-0000000?psc=1
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,4.3 out of 5 stars,₹199.00,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 4 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.3 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555040/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,₹179.00,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
THE CONCISE 48 LAWS OF POWER,Robert Greene,4.4 out of 5 stars,₹234.00,https://www.amazon.in/Concise-Power-Robert-Greene-Collection/dp/1861974043/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
29 Previous Years UPSC Civil Services IAS Prelims Topicwise Solved Papers 1 & 2 (1995 2023) 14th Edition | General Studies & Aptitude (CSAT) PYQs Question Bank,Mrunal Patel,4.3 out of 5 stars,₹418.00,https://www.amazon.in/Previous-Services-Topicwise-Aptitude-Question/dp/9355646488/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Service, etc.) 40 Videos | 2000+ Solved Examples | 10000+ Practice Questions",R. S Aggarwal,4.3 out of 5 stars,₹370.00,https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Revised/dp/9355012322/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
